Specified Values,Specified Attribute Names,eventStatus,Fitness,Accuracy,Numerosity,Avg Match Set Size,TimeStamp GA,Iteration Initialized,Specificity,Deletion Probability,Correct Count,Match Count,Epoch Complete
"1, 0, 2, 0, 1","N3, N19, N68, N70, N84","82.85047247875899,109.10946613932475",0.3053442026178877,0.6096931775626051,1,319.3290591015063,49700,45297,0.05,0.000963737584769637,13,34,True
"0, 0, 0, 0, 0, 1","N7, N11, N16, N65, N84, M0P6","81.90180536330581,86.47639189065158",0.272151263988404,0.4313156539437875,1,317.2506945943343,49831,45310,0.06,0.000957465064517178,92,466,True
1,N22,"0,31.0975",1.0,0.8788072191414935,1,297.6701983856036,49983,45315,0.01,0.0008983709746216677,1995,2711,True
"1, 0","N17, M0P6","71.19772643100195,87.1675",0.19029474658139292,0.22960261420683706,1,327.74763452285595,49971,45321,0.02,0.0009891449108883463,171,721,True
"1, 1, 0, 0","N9, N20, N62, N83","79.07,89.6354393921737",0.22259353608781915,0.23394737778378016,1,319.291235730006,49945,45327,0.04,0.0009636234335401808,95,530,True
"0, 0, 0, 0","N61, N95, M0P5, M0P6","71.19772643100195,87.1675",0.989682958482772,0.7761882492863423,1,377.76277328373385,49998,45336,0.04,0.0011400909887897776,189,368,True
1,N60,"0.9024999999999999,42.88652033416547",1.0,0.845971245255485,1,321.2599485470272,49983,45368,0.01,0.0009695650241386672,1551,1954,True
"1, 0, 1, 2","N9, N21, N22, M0P5","81.90180536330581,87.1675",0.4582522051962908,0.5754673105770486,1,331.368225806393,49945,45385,0.04,0.0010000718835505018,38,135,True
"0, 0, 0, 0","N0, N11, N89, M0P6","71.19772643100195,87.1675",0.3814773265241005,0.20929450512104766,1,324.5764520372727,49998,45398,0.04,0.0010267883122492061,144,615,True
0,N35,"0,36.5625",1.0,0.8689511945183015,2,305.09080375032147,49926,45410,0.01,0.0019065570291742703,1945,2525,True
"0, 0, 1, 1, 2","N0, N3, N8, N9, M0P5","76.54308002857317,87.1675",1.0,0.9004857069451024,1,314.6410556185249,49950,45416,0.05,0.0009495891537850207,31,52,True
"0, 1, 0, 0","N4, N32, N37, N61","0,50.1875",1.0,0.8073661200972398,1,313.73137847648695,49951,45477,0.04,0.0009468437410930016,1814,2142,True
"0, 0, 0, 2, 1","N5, N7, N20, M0P5, M0P6","81.90180536330581,87.1675",0.43440904495872784,0.6319474031851395,1,341.63802631647206,49929,45497,0.05,0.0010310662213896505,32,99,True
"2, 2, 0, 0","N17, N64, N67, N97","47.3275,62.6725",1.0,1.00000000000145,1,348.3279803574188,49505,45505,0.04,0.0010512565547335145,6,6,True
"2, 1, 0, 2, 0","N17, N24, N37, N64, N67","47.3275,62.6725",0.31145805713187336,0.7806045283464054,1,335.6940106285043,49505,45505,0.05,0.0010131271357985269,6,13,True
"0, 0, 0, 0, 1, 0, 0","N0, N11, N45, N85, N97, M0P5, M0P6","71.19772643100195,87.1675",1.0,0.8573367801866975,1,398.92527996233156,49944,45546,0.07,0.001203959598591493,38,64,True
0,N16,"-9.410708348576055,63.1175",0.8454600323532461,0.41164874302892446,2,322.28043064069055,49983,45547,0.01,0.0019452896940735235,4151,4799,True
"0, 0","N65, N92","0,50.1875",0.996914576062742,0.79118407571798,1,314.9145487278825,49951,45562,0.02,0.0009504145581168565,2099,2536,True
0,N44,"0,50.1875",1.0,0.7979496471230352,1,302.6579145048778,49983,45628,0.01,0.0009441004162486492,3299,3938,True
"0, 0","N5, N61","0,78.85",0.7818390016693265,0.008570284322248113,2,315.2548863056819,49983,45638,0.02,0.001902883399149008,3847,4227,True
"2, 1, 1","N14, N36, N71","70.8325,87.1675",0.21031753077021625,0.44721005426047056,1,337.92234990530824,49777,45646,0.03,0.0010198522810725488,30,95,True
0,N85,"0,42.88652033416547",1.0,0.8295108096210528,2,295.94934573068474,49983,45677,0.01,0.0018375845506132349,2797,3567,True
"0, 1, 0, 0, 0","N55, N72, N95, M0P5, M0P6","71.39959694924747,87.1675",1.0,0.9209720361174173,1,380.28777582952597,49998,45688,0.05,0.0011477114661176658,58,86,True
1,N91,"0,36.5625",1.0,0.8668810450001357,1,295.36728401501495,49951,45694,0.01,0.0008914207611344043,2003,2605,True
"1, 0, 2, 0, 1, 0, 0","N3, N19, N68, N70, N84, N85, M0P6","82.85047247875899,109.10946613932475",1.0,0.9992263946047836,1,321.7818490517232,49700,45700,0.07,0.0009711401239222604,6,6,True
"1, 0, 2, 1, 0","N3, N19, N68, N84, M0P6","82.85047247875899,99.23630470057778",1.0,0.9980592833655894,1,337.4549036818099,49700,45700,0.05,0.0010184415247332683,24,25,True
"0, 1, 2","N7, N78, M0P5","79.07,87.1675",0.3771011855448027,0.488100738204648,1,338.4689687946837,49929,45725,0.03,0.0010215019811334151,60,230,True
"0, 0","N54, N65","0,36.5625",1.0,0.8737260625357047,2,310.3847745854295,49983,45748,0.02,0.0019465001420937726,3509,4558,True
"0, 0, 1, 0, 2","N0, N7, N61, N88, M0P5","81.90180536330581,90.07482482070454",0.3582454138859177,0.7392004796336461,1,308.4204319729779,49804,45750,0.05,0.0009308152632258946,18,44,True
"0, 1","N12, N80","81.90180536330581,87.1675",0.6009610595250469,0.3475175484680236,3,284.5287231644341,49837,45789,0.02,0.0026271235968268023,213,1226,True
"0, 0, 2","N5, N65, M0P5","79.07,88.86247386335",0.6398841321356393,0.45768298817816505,1,331.4047431283143,49988,45799,0.03,0.0010001820931121673,168,633,True
"1, 0, 0, 1, 2, 1","N20, N32, N90, N96, M0P5, M0P6","81.90180536330581,99.0",1.0,0.9419723511459372,1,346.4815476870342,49812,45799,0.06,0.001045684006568925,18,25,True
"0, 1, 2, 1","N65, N80, M0P5, M0P6","79.07,87.1675",0.6037268657367224,0.7927706285727548,1,349.17390927173165,49812,45804,0.04,0.001053809574778294,53,117,True
0,N31,"0.9024999999999999,36.5625",1.0,0.8741136802777876,2,303.67439899054153,49983,45809,0.01,0.001895870227712423,2648,3456,True
"1, 2, 2","N9, M0P5, M0P6","71.28057153281134,87.1675",1.0,0.9450141432549495,2,324.96681005015387,49950,45837,0.03,0.0019615047219894645,37,49,True
"1, 0","N49, N90","-2.005176272414164,25.902822694684037",1.0,0.8904774320876848,1,299.9459857936341,49983,45867,0.02,0.0009338696388117503,979,1391,True
"1, 0, 0, 0","N6, N95, M0P5, M0P6","71.19772643100195,87.1675",1.0,0.8646290691366258,2,380.6607723618407,49944,45914,0.04,0.002297674345108259,103,173,True
"1, 2","N20, M0P5","79.07,87.1675",0.712452610764785,0.5549273979468097,2,325.119221934693,49988,45945,0.02,0.0019624246824960917,109,371,True
"1, 1, 1, 0, 0, 2","N9, N20, N22, N51, N62, M0P5","79.07,87.1675",1.0,0.9853125164436224,1,342.05604060742536,49945,45945,0.06,0.0010323277917719264,41,48,True
"0, 2","N54, M0P5","76.54308002857317,87.1675",0.8509043199609712,0.4296096402432577,1,323.17696690233987,49950,45950,0.02,0.0009753506004495311,183,706,True
"0, 1, 0, 1, 2, 2","N3, N9, N27, N80, M0P5, M0P6","70.8325,89.0775",0.33902895384235177,0.743623679060448,1,313.3256913878498,49950,45950,0.06,0.0009456193743032222,12,24,True
0,N54,"0.9024999999999999,36.5625",1.0,0.8724641673491437,2,301.0209375711023,49983,46009,0.01,0.001875849809692489,3534,4605,True
"2, 1","N47, N80","81.90180536330581,87.1675",0.5728689939147456,0.5181249941633076,1,311.5856669627675,49882,46060,0.02,0.000977780449219172,98,395,True
1,N41,"0,42.88652033416547",1.0,0.8054588209719571,1,284.6925545707727,49951,46062,0.01,0.0008763259211826206,1924,2506,True
"1, 1, 1, 2","N9, N21, N87, M0P5","76.54308002857317,87.1675",1.0,0.8651443755178055,1,363.951905673071,49837,46067,0.04,0.0010984096828913297,23,40,True
0,N54,"-7.871292300709113,42.88652033416547",1.0,0.8357569420995316,1,301.0209375711023,49983,46081,0.01,0.0009379249048462445,3585,4536,True
"1, 2, 0, 1, 0","N3, N68, N70, N84, M0P6","82.85047247875899,109.10946613932475",0.25706604792404647,0.5623963082157584,1,335.39437510467525,49700,46097,0.05,0.0010122228334564266,16,46,True
"0, 0, 0, 2, 0, 2, 1","N4, N7, N11, N25, N84, M0P5, M0P6","81.90180536330581,86.47639189065158",1.0,0.9991245490144708,1,345.290905998622,49760,46110,0.07,0.0010420906406900256,17,17,True
"1, 1, 0","N20, N22, N62","79.07,87.1675",0.11927746386609703,0.27187093906292803,1,310.50537617425715,49988,46116,0.03,0.0009371076410463598,147,890,True
"0, 0, 0, 0","N90, N95, M0P5, M0P6","63.95139104944798,94.43870053166134",1.0,0.8068403144562722,2,384.8140030449423,49998,46121,0.04,0.002322743310136281,215,341,True
"1, 0","N43, N61","0,42.88652033416547",1.0,0.8539025372779719,1,292.1786651675916,49983,46145,0.02,0.0008817974846452142,1660,2079,True
0,N61,"0,36.5625",1.0,0.8718608015821802,2,312.4002428348565,49983,46145,0.01,0.0018856527267404743,3255,4229,True
"1, 1, 1","N71, N95, M0P5","-7.63951760069841,42.88652033416547",1.0,0.871493699354222,1,305.73665663783174,49816,46162,0.03,0.0009227156083844732,130,163,True
0,N33,"0.9024999999999999,42.26335021829383",1.0,0.8432767194623647,1,290.7059388149174,49983,46174,0.01,0.0008990114717243174,2999,3805,True
"0, 1, 0, 1, 2","N5, N20, N90, N96, M0P5","81.90180536330581,99.0",1.0,0.8313190354102671,1,347.5056272564197,49988,46195,0.05,0.0010487746866767375,59,108,True
"0, 0, 1, 1","N37, N56, M0P5, M0P6","0,63.1175",1.0,0.824768602790484,1,302.0316268110595,49851,46199,0.04,0.0009115337995418963,553,565,True
"0, 0","N2, N44","0,50.1875",1.0,0.8382603849014872,1,283.76340095104894,49983,46204,0.02,0.0008564001517683739,2218,2571,True
"0, 1, 0, 2","N3, N9, N54, M0P5","71.28057153281134,87.1675",0.45501396385653503,0.6586275301577034,1,321.2744373916202,49950,46216,0.04,0.0009696087515843731,48,119,True
0,N12,"81.9938065536327,87.1675",0.46388227003484445,0.26700121104286556,4,309.5655657700641,49998,46237,0.01,0.0038806383912961856,386,2784,True
"0, 0, 2, 0, 0","N0, N5, N78, N95, M0P6","71.19772643100195,87.1675",0.08570297035195955,0.17090300878163153,1,307.55815233948425,49798,46241,0.05,0.000928212896583418,68,332,True
0,N2,"0,50.1875",1.0,0.8220158295045934,1,287.4230781528831,49983,46244,0.01,0.000867445086036041,2879,3381,True
"0, 1, 0","N2, N14, N15","0,36.5625",1.0,0.8988513844184987,3,292.4408899425581,49983,46331,0.03,0.0026477666431685676,1017,1279,True
"1, 2, 1, 0","N12, N14, N36, N52","81.90180536330581,87.1675",1.0,0.9352079025469048,1,265.38005494072354,49646,46352,0.04,0.0008009190704855588,21,35,True
0,N32,"79.07,87.1675",0.302071999185557,0.29027851358438084,1,315.9180253034453,49998,46367,0.01,0.0009941243131919234,215,1191,True
0,N54,"0,48.725145513595585",1.0,0.7999224693050918,2,301.0209375711023,49983,46382,0.01,0.001875849809692489,3482,4247,True
"0, 2","N7, M0P5","81.90180536330581,90.07482482070454",0.8914978434122779,0.547980687479956,1,339.13088397330614,49988,46401,0.02,0.0010234996462922417,139,462,True
0,N29,"0,42.88652033416547",1.0,0.8225073311218511,1,317.3789361720118,49983,46410,0.01,0.0009578520985963366,1664,2139,True
"1, 2","N81, M0P6","76.27000392788355,86.09619367955565",0.38764427172034926,0.4955596723385728,2,303.3253023723036,49920,46425,0.02,0.0018308762449012258,56,200,True
"0, 0, 0","N44, M0P5, M0P6","71.19772643100195,87.1675",0.9875812763037529,0.7717962487900847,1,355.8186075300752,49998,46432,0.03,0.0010738633258181687,175,345,True
"0, 0, 1","N45, N62, M0P5","0,78.85",0.7818433408834147,0.00919514214018854,1,286.3751167549415,49967,46438,0.03,0.0008642823303838439,1482,1538,True
"0, 0, 2","N1, N28, M0P6","70.8325,89.0775",0.21277215633981048,0.25622114776161303,1,308.2167969350377,49988,46446,0.03,0.0009302006910970969,103,383,True
"1, 1, 0, 0","N9, N20, N62, N83","79.07,87.1675",0.3519744418075453,0.29130405149296623,2,319.291235730006,49945,46446,0.04,0.0019272468670803616,74,432,True
0,N4,"0.9024999999999999,20.239046285116878",1.0,0.8801175116001981,1,301.74571398063347,49983,46447,0.01,0.0009406591308997114,2783,4283,True
"1, 0, 2, 0, 0, 0","N6, N7, N69, N79, N95, M0P6","71.19772643100195,87.1675",0.31647557339933524,0.5127234588437726,1,361.8452580352465,49944,46456,0.06,0.0010920518039305167,26,75,True
"0, 0, 0","N0, M0P5, M0P6","71.39959694924747,87.1675",0.9982021993426645,0.7938357469535341,1,359.8063786779451,49998,46460,0.03,0.0010858984501675643,221,424,True
"0, 0, 1, 0, 0","N0, N55, N72, N95, M0P6","63.95139104944798,87.1675",0.29860607208479933,0.40321934057873815,1,361.8933063821674,49998,46460,0.05,0.0010921968142153433,66,175,True
"1, 0, 0, 2, 0, 0, 0","N3, N19, N61, N68, N70, N95, M0P6","82.85047247875899,109.10946613932475",1.0,0.9994468950454175,1,327.1366796538956,49700,46500,0.07,0.0009873010443405546,15,16,True
"0, 0","N72, N95","0,50.1875",0.9843387162382267,0.7649891613969871,1,324.2528225758553,49983,46501,0.02,0.0009785975412424292,838,1014,True
"0, 0, 0","N11, M0P5, M0P6","66.09168467398428,87.1675",1.0,0.9217891467746144,1,371.9173587651209,49998,46505,0.03,0.0011224494822948904,155,217,True
"0, 1, 0, 0","N11, N17, N86, M0P5","66.09168467398428,87.1675",0.14747735317539895,0.11589065835129635,1,328.46905085706675,49971,46505,0.04,0.0009913221509976614,64,248,True
"1, 0, 2, 1","N21, N65, M0P5, M0P6","76.22711362955607,91.4566660261028",0.33890023546792875,0.7094336640834215,1,338.69924757134334,49804,46525,0.04,0.001022196964272958,24,58,True
"0, 0, 0, 0","N0, N90, M0P5, M0P6","71.19772643100195,87.1675",0.9995512320280739,0.7966080663381939,2,361.401478331823,49998,46536,0.04,0.002181424946665898,196,374,True
"0, 0, 0, 0, 0, 0","N0, N5, N37, N95, M0P5, M0P6","71.19772643100195,87.1675",1.0,0.8613168684550819,2,382.9949253756154,49998,46547,0.06,0.0023117633290191337,167,283,True
1,N19,"-7.63951760069841,36.5625",1.0,0.8742877445036231,1,320.5470147497874,49951,46549,0.01,0.0009674133843919253,1570,2064,True
0,N61,"0,78.85",0.7818388249209766,0.008543863605233147,1,312.4002428348565,49983,46591,0.01,0.0009428263633702371,3471,3827,True
"0, 0, 2, 1","N65, N88, M0P5, M0P6","70.8325,86.47639189065158",0.9630752937887305,0.7193480601346497,1,338.25705629999874,49945,46599,0.04,0.0010208624275757628,97,210,True
"0, 1, 0, 1, 0, 2","N7, N21, N31, N61, N65, M0P5","76.22711362955607,86.47639189065158",1.0,0.996929620146694,1,322.0890930372726,49804,46604,0.06,0.0009720673886610272,5,5,True
"0, 0, 2","N65, N90, M0P5","71.28057153281134,87.1675",0.1936719570456889,0.29442895134148633,1,334.12118305547835,49988,46612,0.03,0.0010083803299464316,123,486,True
"0, 1, 0, 0, 1, 2","N5, N9, N32, N90, N96, M0P5","81.90180536330581,99.0",1.0,0.9217436999657057,1,333.8644448423286,49812,46612,0.06,0.0010076054920217055,24,35,True
0,N96,"-7.63951760069841,36.5625",1.0,0.8991456824335099,1,289.855740454431,49983,46645,0.01,0.0008747868797883869,1214,1533,True
0,N16,"0,50.1875",0.9952843527192498,0.7878190059920074,2,322.28043064069055,49983,46645,0.01,0.0019452896940735235,3156,3794,True
"0, 2, 0, 0, 0, 0, 0","N11, N19, N29, N85, N95, M0P5, M0P6","71.19772643100195,87.1675",1.0,0.9977266579463043,1,414.0604893878605,49914,46714,0.07,0.0012496377783906742,20,20,True
"0, 1, 1, 2","N17, N55, N81, M0P6","76.27409704843437,86.09210055900483",1.0,0.8085212517263229,1,345.19752632057373,49920,46720,0.04,0.0010418088200951758,23,50,True
1,N40,"0,50.1875",1.0,0.819500921203643,1,319.31404040008994,49926,46728,0.01,0.000963692258211916,981,1177,True
0,N60,"0.9024999999999999,42.88652033416547",1.0,0.8328732551328584,1,281.6945222275372,49951,46728,0.01,0.0008650158150116512,1937,2465,True
"0, 0, 0, 2, 1","N84, N90, N93, M0P5, M0P6","82.24009125025773,87.1675",0.3653834843860894,0.7865982019491209,1,360.23324797409487,49929,46729,0.05,0.0010871867450244158,18,46,True
0,N65,"0.9024999999999999,16.0975",1.0,0.8696106445526147,1,311.06950318431046,49983,46734,0.01,0.0009758332163452071,2321,3814,True
0,N95,"0,36.5625",1.0,0.8773874730744339,1,301.3587902844388,49983,46734,0.01,0.000939199457492952,2597,3357,True
"1, 0","N61, N65","81.90180536330581,90.07482482070454",0.2388619426699758,0.2010503046935218,1,309.5747879065763,49965,46765,0.02,0.0009701943884237249,47,317,True
"0, 0, 1, 2","N7, N31, N61, M0P5","81.90180536330581,90.92650010735524",1.0,0.8712267790099657,1,328.8856114513301,49965,46765,0.04,0.0009925793341120173,19,35,True
0,N37,"0,56.01542047902217",0.9455063101748252,0.6801483535151838,2,304.84745770143616,49983,46781,0.01,0.00190472097850231,3194,3776,True
"1, 0","N27, N87","0.9024999999999999,42.88652033416547",1.0,0.8684237255492605,1,327.4606843994793,49934,46794,0.02,0.0009882788931835046,222,280,True
"1, 0","N14, N15","0,36.5625",1.0,0.8877724759312065,1,293.5139854710514,49983,46827,0.02,0.0009096048550430699,1145,1469,True
"2, 2","M0P5, M0P6","81.90180536330581,89.0775",1.0,0.8732905042430928,1,327.9136755939609,49988,46832,0.02,0.0009896460241327514,42,79,True
"0, 0","N54, N66","0.9024999999999999,50.1875",1.0,0.8001793621852864,1,294.5749669490909,49983,46870,0.02,0.000889029542065166,2288,2748,True
"0, 0","M0P5, M0P6","70.87511711721206,94.09122606776408",0.9680162696145402,0.7301177908117255,1,358.5463541569058,49998,46886,0.02,0.0010820956863599933,223,420,True
"0, 0, 1, 0, 0, 0","N0, N5, N75, N95, M0P5, M0P6","71.19772643100195,87.1675",1.0,0.879277041791923,1,397.29120733847697,49944,46886,0.06,0.0011990279546995064,106,171,True
"1, 0, 2, 0, 0, 0","N3, N46, N68, N70, N95, M0P6","82.85047247875899,109.10946613932475",1.0,0.9991620034917175,1,332.94758105158587,49700,46897,0.06,0.0010048383899679825,9,9,True
"1, 0, 0, 2, 0, 0","N3, N19, N46, N68, N95, M0P6","82.85047247875899,109.10946613932475",1.0,0.9991620034917175,1,332.94758105158587,49700,46897,0.06,0.0010048383899679825,9,9,True
0,N62,"0,30.585110103946263",1.0,0.8773926425065975,1,301.7439360418041,49983,46905,0.01,0.0009406524236081871,2719,3751,True
"0, 2, 0, 1","N65, N76, N84, M0P6","81.90180536330581,86.47639189065158",0.12582997858854175,0.19799328802121052,1,313.43601074700155,49929,46910,0.04,0.000945952318987434,20,201,True
"0, 0, 0, 0, 1","N7, N11, N65, N84, M0P6","81.90180536330581,86.47639189065158",0.31297602537806374,0.40906524204236766,1,316.4225009197693,49831,46910,0.05,0.000954965569563939,67,368,True
"0, 0, 0, 0, 1, 2","N2, N32, N37, N73, N96, M0P5","81.90180536330581,99.0",1.0,0.8616528917455103,1,321.7448288377922,49988,46927,0.06,0.0009710283966285969,26,48,True
"0, 0","N1, N16","0,50.1875",0.997072728902235,0.7915100622247334,1,317.60705440617664,49983,46933,0.02,0.0009585405612018213,2501,3007,True
"0, 0","N5, N65","0.9024999999999999,36.5625",1.0,0.8739244297417379,1,314.004069845098,49983,46948,0.02,0.0009869038976119326,2487,3252,True
1,M0P5,"0,36.5625",1.0,0.952854004415948,2,281.86957402750835,49983,46948,0.01,0.0017313523992588712,1630,1858,True
"1, 0, 0","N73, M0P5, M0P6","66.09168467398428,87.1675",1.0,0.9482836814371557,1,394.9437049342469,49971,46955,0.03,0.0011919431741798153,86,109,True
"1, 1","N71, M0P5","0,42.88652033416547",1.0,0.9361012641922809,1,293.86387996207475,49983,46962,0.02,0.0008868834760060474,738,835,True
0,N10,"0,56.01542047902217",0.9773912948382383,0.7502737598545307,1,276.16618228731875,49912,46978,0.01,0.000844160098823612,1362,1575,True
"1, 1, 2","N22, N61, M0P5","79.07,85.95451690228161",0.40647626442412116,0.7503415544787007,1,329.7127192702259,49750,46985,0.03,0.0009950755519443986,14,34,True
"0, 0, 2, 1","N65, N84, M0P5, M0P6","70.8325,86.47639189065158",1.0,0.8038085300276415,1,353.04126423025116,49929,47016,0.04,0.0010654812821313843,66,131,True
"0, 0, 1","N65, N67, N71","0,50.1875",0.9864948028994939,0.7695196391747432,1,313.24763343908387,49983,47044,0.03,0.0009453837948065505,810,1003,True
"0, 0, 0","N2, N35, N44","0,50.1875",1.0,0.8739347748370532,1,296.22874936989695,49926,47058,0.03,0.0008940206702776959,859,975,True
"0, 2","N47, M0P5","79.07,87.1675",0.49915955966119757,0.5109240387073136,1,333.89290908906145,49945,47070,0.02,0.0010076913973397987,46,176,True
"0, 0","N34, N80","0,59.41160049043395",0.9225549481444524,0.6264637002943779,2,288.9564021153885,49912,47071,0.02,0.0017441453393684896,1120,1313,True
0,N95,"0,42.02724348807771",1.0,0.851756509727198,1,301.3587902844388,49983,47100,0.01,0.000939199457492952,2424,3060,True
"0, 0, 0, 0","N5, N85, M0P5, M0P6","71.19772643100195,87.1675",0.9900355656626061,0.7769235908303893,1,362.10037530555513,49998,47122,0.04,0.0010928217498371376,125,243,True
"0, 1, 0, 0","N0, N41, M0P5, M0P6","71.19772643100195,87.1675",0.9718054231138123,0.7383071420072268,1,355.75163638155607,49971,47122,0.04,0.0010736612063708979,101,214,True
"2, 1","N14, N36","81.90180536330581,87.1675",0.2929292925309613,0.41414935240908124,1,312.5706612935074,49924,47152,0.02,0.0009433406876043124,31,149,True
"0, 0, 0, 0, 0","N0, N11, N85, N95, M0P5","71.19772643100195,87.1675",0.4035471217138581,0.39858293037672105,1,328.93070317908905,49998,47165,0.05,0.0009927154212972106,100,358,True
0,N62,"-17.46825042673273,26.73376717396568",1.0,0.8840724440884595,1,301.7439360418041,49983,47172,0.01,0.0009406524236081871,2451,3495,True
"0, 1, 0, 0","N21, N72, M0P5, M0P6","66.09168467398428,87.1675",1.0,0.866728650402399,1,375.9107896182907,49944,47196,0.04,0.0011345016876789142,93,145,True
"0, 0, 0, 0, 2","N7, N16, N65, N84, M0P5","81.90180536330581,86.47639189065158",0.6802674471518957,0.6549154484520435,1,357.5731549758949,49929,47201,0.05,0.001079158563660148,50,154,True
"0, 0, 0, 0, 1","N7, N16, N65, N84, M0P6","81.90180536330581,86.47639189065158",0.20890072774763627,0.3169785182345763,1,303.9057909043367,49929,47201,0.05,0.0009171900413565281,90,641,True
"1, 2","N9, M0P5","71.28057153281134,87.1675",0.8952948155432062,0.5580165513443668,3,322.73670053877544,49950,47220,0.02,0.0029220656194169758,103,284,True
"0, 0","N5, N17","-13.299518863992786,25.902822694684037",1.0,0.874594834801124,1,302.99173329103843,49951,47224,0.02,0.0009453597508658554,1292,1901,True
"1, 1, 2","N55, N81, M0P6","76.27409704843437,86.09619367955565",0.4205453333812579,0.645270636310384,1,323.3581960577322,49920,47225,0.03,0.0009758975514504799,24,70,True
"0, 0, 0, 0","N0, N21, M0P5, M0P6","66.09168467398428,87.1675",1.0,0.8663127846163577,2,363.6139644430555,49971,47232,0.04,0.0021947795472598754,154,244,True
"0, 1","N45, M0P5","0,78.85",0.7818433737875802,0.00919971830194556,1,286.1407395615028,49967,47238,0.02,0.0008635749781905759,1233,1285,True
"0, 0, 1","N45, N81, M0P5","0,78.85",0.7818440533715525,0.009293727956631708,1,288.3723621912057,49967,47238,0.03,0.0008703100326491915,830,859,True
"0, 2, 0, 0","N21, N94, M0P5, M0P6","71.19772643100195,87.1675",1.0,0.906397019452297,1,383.4063333250769,49798,47260,0.04,0.001157123296901823,26,40,True
0,N35,"0,50.1875",1.0,0.8287251025261113,1,305.09080375032147,49926,47280,0.01,0.0009532785145871352,1408,1654,True
"0, 0, 0, 0","N7, N13, M0P5, M0P6","63.95139104944798,87.1675",1.0,0.8265222009856946,1,372.5898655727565,49998,47288,0.04,0.0011244791130724822,161,266,True
"0, 0, 0","N4, N16, N65","0,48.725145513595585",1.0,0.8032056720230933,2,323.45200424781206,49983,47303,0.03,0.0019523613305959498,2431,2967,True
"0, 1, 0, 0","N11, N73, N86, M0P5","66.09168467398428,87.1675",0.3491877573054409,0.4196099265861626,1,332.2178578480074,49971,47305,0.04,0.0010026360796622877,51,142,True
0,N65,"0,35.41681385414907",1.0,0.869869423361431,1,311.06950318431046,49983,47314,0.01,0.0009758332163452071,2458,3273,True
"1, 0, 0, 0, 1","N9, N84, N90, N93, M0P6","81.90180536330581,87.1675",0.4256776724085741,0.6112949036486788,1,310.80648941149445,49929,47325,0.05,0.000938016403139023,32,107,True
"1, 0","N61, N65","79.07,90.07482482070454",0.10949462611465798,0.12832718802733578,1,309.5747879065763,49965,47332,0.02,0.0009701943884237249,42,267,True
"1, 0, 2","N20, N62, M0P5","81.90180536330581,87.1675",0.7645102580651097,0.585413184392804,1,325.9949368565924,49988,47332,0.03,0.0009838552556954586,73,260,True
"0, 0, 0","N46, N54, N65","0.9024999999999999,36.5625",1.0,0.8454547460212289,1,318.93995300457425,49983,47339,0.03,0.0009625632595418248,624,858,True
1,N44,"0,48.725145513595585",0.9896086850803175,0.776033301050131,1,299.29786749489483,49912,47339,0.01,0.0009032832926568824,630,783,True
"0, 2, 1","N65, M0P5, M0P6","81.90180536330581,87.1675",0.8191220656770432,0.6319788395704558,1,339.3068558822352,49945,47350,0.03,0.0010240307308824628,69,223,True
"0, 0, 2, 0, 0, 2, 1","N7, N11, N25, N51, N84, M0P5, M0P6","81.90180536330581,86.47639189065158",1.0,0.9991245490144708,2,346.7832488118055,49760,47350,0.07,0.002093189085821479,13,13,True
"0, 2","N7, M0P5","84.57164556119726,90.07482482070454",0.5690309289905551,0.39669279931855966,1,339.13088397330614,49988,47355,0.02,0.0010234996462922417,73,359,True
"0, 1","N13, N83","0,23.382791063005783",1.0,0.8971238247154286,1,319.91922482132617,49934,47392,0.02,0.0009655187095035819,823,1179,True
"0, 1, 0, 1, 2","N5, N20, N32, N96, M0P5","81.90180536330581,99.0",1.0,0.9186813092848108,1,346.509988911953,49988,47399,0.05,0.0010457698424070044,29,44,True
"0, 0, 1","N7, N31, N61","81.90180536330581,90.92650010735524",0.3876155323271743,0.360345356183814,1,316.6327004663165,49965,47404,0.03,0.0009968204321941304,35,161,True
"0, 0, 0, 0","N11, N86, N89, M0P5","71.19772643100195,87.1675",0.4674834977777783,0.33924610447381476,1,309.9993202491107,49998,47421,0.04,0.0009355803603271191,104,381,True
2,N69,"0,36.5625",1.0,0.8861542393316519,1,294.8893748848186,49912,47424,0.01,0.000889978427661307,468,601,True
"0, 2","N52, M0P5","81.90180536330581,99.0",0.490060169556883,0.455124318444999,1,313.09341751852037,49929,47434,0.02,0.0009449183699584798,66,201,True
"0, 0, 0","N95, M0P5, M0P6","63.95139104944798,83.7324067804646",0.9329702764061862,0.6512103821405053,1,381.78318663781783,49998,47449,0.03,0.001152224627571486,126,268,True
"0, 0","N29, N54","0,50.1875",0.9884807389767394,0.7736778138063063,1,317.38123867030856,49983,47468,0.02,0.0009578590475541099,1275,1557,True
"0, 1, 1","N17, N55, N81","81.90180536330581,86.09619367955565",0.3758023748261645,0.3569021193239321,1,304.4604174948751,49920,47520,0.03,0.0009509003763079053,48,309,True
"0, 0, 0, 0","N13, N62, M0P5, M0P6","71.19772643100195,87.1675",0.9873414793300846,0.7712941378530429,1,359.4407112644407,49998,47524,0.04,0.0010847948630686914,147,288,True
"0, 2, 1","N65, M0P5, M0P6","79.07,88.86247386335",0.8197667274486609,0.6416486580537505,1,339.3068558822352,49965,47529,0.03,0.0010240307308824628,73,207,True
