Specified Values,Specified Attribute Names,eventStatus,Fitness,Accuracy,Numerosity,Avg Match Set Size,TimeStamp GA,Iteration Initialized,Specificity,Deletion Probability,Correct Count,Match Count,Epoch Complete
"1, 2, 2","N96, M0P5, M0P6","81.90180536330581,99.0",1.0,0.9783181225559697,1,342.8076780168214,49988,38788,0.03,0.0010345962393212727,119,135,True
0,N42,"0,50.1875",0.9944069649919498,0.7860042487539319,1,300.75175921731847,49983,38834,0.01,0.000907671149186531,5388,6480,True
"1, 0, 2, 0, 1, 0, 0","N3, N19, N68, N70, N84, N95, M0P6","82.85047247875899,109.10946613932475",1.0,0.9991620034917175,1,332.6477917128062,49700,38897,0.07,0.0010039336234111645,29,29,True
"0, 0, 0, 0, 0","N11, N13, N89, M0P5, M0P6","71.19772643100195,87.1675",1.0,0.9545483233661892,1,398.5468612201697,49998,38922,0.05,0.0012028175278835256,249,323,True
1,N83,"0,42.88652033416547",1.0,0.8366082494857545,2,320.58319906029584,49934,38959,0.01,0.0019350451778451122,3950,4939,True
"1, 1, 0, 2","N9, N61, N95, M0P5","79.07,85.95451690228161",1.0,0.9587047001157287,1,309.044801886576,49804,38985,0.04,0.0009326996164827732,44,58,True
"0, 0","N2, N65","0,36.5625",1.0,0.8990308113340261,1,306.7696318337704,49983,38999,0.02,0.0009258331355624317,6617,8186,True
"1, 0, 0","N19, N44, N65","-7.63951760069841,36.5625",1.0,0.8779050774837421,1,325.69400961543465,49951,39014,0.03,0.0009829470549404106,3126,4022,True
"0, 0, 0","N34, N39, N80","0,59.41160049043395",0.9592916511059811,0.7110286369678431,1,295.8142783539319,49912,39071,0.03,0.0008927697935269014,1102,1227,True
"0, 2","N43, N69","0,36.5625",1.0,0.854998737985358,1,329.8631830158088,49912,39081,0.02,0.0009955296526991857,613,808,True
"0, 1, 0","N45, N75, M0P5","77.58107850822635,87.1675",0.4802322734152385,0.34870362509524555,1,298.22604022687165,49924,39216,0.03,0.0009000485096231011,383,1712,True
1,N47,"0,50.1875",1.0,0.8248017679590367,3,283.3850475972602,49983,39228,0.01,0.0025657748352090758,5023,5789,True
"0, 1, 0","N17, N63, N72","0,18.395",0.9944789210173703,0.7861531773982411,1,292.09952844487833,49926,39239,0.03,0.0008815586494003766,418,749,True
"0, 0","N54, N84","0,42.02724348807771",1.0,0.8486365198544368,1,307.846794178325,49951,39248,0.02,0.0009636755152790142,4180,5254,True
"0, 0","N34, N45","0,59.41160049043395",0.9178782749465169,0.6151220143997074,2,291.2510955939585,49967,39465,0.02,0.0017579961449108732,4899,5646,True
"2, 1, 1, 2, 2","N10, N20, N22, N96, M0P5","79.07,87.1675",1.0,0.8244434035333875,1,347.4700648678004,49945,39545,0.05,0.0010486673591112066,14,28,True
